"archivo_anterior","archivo_nuevo","categoria","subcategoria","nombre"
"vela-de-cera-01","vela-de-cera-rosa-gold","Velas","Metalizadas","Rosa Gold Metálico"
"vela-de-cera-02","vela-de-crea-oro-champagne","Velas","Metalizadas","Oro Champagne Metálico"
"vela-de-cera-03","vela-de-cera-tinto","Velas","Metalizadas","Tinto Metálico"
"vela-de-cera-04","vela-de-cera-colores","Velas","Metalizadas","Colores Metálico"
"vela-de-cera-05","vela-de-cera-azul","Velas","Metalizadas","Azul Metálico"
"vela-de-cera-06","vela-de-cera-plateada","Velas","Metalizadas","Plateado Metálico"
"vela-de-cera-07","vela-de-cera-colores-plus","Velas","Metalizadas","Colores Plus Metálico"
"velas-de-cera-numero-01","vela-de-cera-de-numero-plateada","Velas","Números","Vela de Cera de Número Plateada"
"velas-de-cera-numero-02","vela-de-cera-de-numero-dorada-corona","Velas","Números","Vela de Cera de Número Dorada Corona"
"velas-de-cera-numero-03","vela-de-cera-de-numero-plateada-corona","Velas","Números","Vela de Cera de Número Plateada Corona"
"velas-de-cera-numero-04","vela-de-cera-de-numero-dorada","Velas","Números","Vela de Cera de Número Dorada"
"vela-pirotecnia-01","vela-pirotecnia-rosa","Velas","Pirotécnicas","Vela Pirotecnia Rosa"
"vela-pirotecnia-02","velas-pirotecnia-colores","Velas","Pirotécnicas","Velas Pirotecnia Colores"
"vela-pirotecnia-03","velas-pirotecnia-paquete","Velas","Pirotécnicas","Velas Pirotecnia Paquete"
"velas-de-cera-espiral-01","vela-espiral-rosa-gold","Velas","Espiral","Rosa Gold"
"velas-de-cera-espiral-02","vela-espiral-fushia","Velas","Espiral","Fushia"
"velas-de-cera-espiral-03","vela-espiral-morada","Velas","Espiral","Morada"
"velas-de-cera-espiral-04","vela-espiral-negro","Velas","Espiral","Negro"
"velas-de-cera-espiral-05","vela-espiral-plateado","Velas","Espiral","Plateado"
"velas-de-cera-espiral-06","vela-espiral-cobre","Velas","Espiral","Cobre"
"velas-de-cera-espiral-07","vela-espiral-colores-plus","Velas","Espiral","Colores Plus"
"velas-de-cera-espiral-08","vela-espiral-dorado","Velas","Espiral","Dorado"
"vela-de-cera-creativa-01","vela-de-rosas","Velas","Rosas","Vela de Rosas"
"vela-de-cera-creativa-02","vela-de-rosa-azul","Velas","Rosas","Vela de Rosa Azul"
"velas-cera-feliz-cumpleanos-01","velas-de-cera-feliz-cumplanos-1","Velas","Feliz Cumpleaños","Rosa Metálico"
"velas-cera-feliz-cumpleanos-02","velas-de-cera-feliz-cumplanos-2","Velas","Feliz Cumpleaños","Rosa Gold Metálico"
"velas-cera-feliz-cumpleanos-03","velas-de-cera-feliz-cumplanos-3","Velas","Feliz Cumpleaños","Cobre Metálico"
"velas-cera-feliz-cumpleanos-04","velas-de-cera-feliz-cumplanos-4","Velas","Feliz Cumpleaños","Plateado Metálico"
"velas-happy-birthday-01","vela-happy-birthday-dorado","Velas","Happy Birthday","Dorado Metálico"
"velas-happy-birthday-02","vela-happy-birthday-plateado","Velas","Happy Birthday","Plateado Metálico"
"velas-happy-birthday-03","vela-happy-birthday-cobre","Velas","Happy Birthday","Cobre Metálico"
"velas-happy-birthday-04","vela-happy-birthday-rosa","Velas","Happy Birthday","Rosa Metálico"
"velas-happy-birthday-05","vela-happy-birthday-rosa-gold","Velas","Happy Birthday","Rosa Gold Metálico"
"velas-happy-birthday-06","vela-happy-birthday-azul","Velas","Happy Birthday","Azul Metálico"
"velas-happy-birthday-07","vela-happy-birthday-rojo","Velas","Happy Birthday","Rojo Metálico"
"velas-cera-feliz-cumpleanos-06","velas-de-cera-feliz-cumplanos-5","Velas","Feliz Cumpleaños","Azul Metálico"
"toppers-01","feliz-cumpleanos-madera","Accesorios","Toppers","Feliz Cumpleaños Madera"
"kit-globos-feliz-cumpleanos-01","kit-globos-futbol-verde-y-tarro-de-cerveza","Globos y Kits","Cumpleaños","Fútbol Verde y Cerveza"
"kit-globos-feliz-cumpleanos-02","kit-globos-futbol-negro-y-plata-con-playera","Globos y Kits","Cumpleaños","Fútbol Negro y Plata con Playera"
"kit-globos-feliz-cumpleanos-03","kit-globos-futbol-rosa-con-letrero","Globos y Kits","Cumpleaños","Fútbol Rosa con Letrero"
"kit-globos-feliz-cumpleanos-04","kit-globos-futbol-verde-con-letrero","Globos y Kits","Cumpleaños","Fútbol Verde con Letrero"
"kit-globos-feliz-cumpleanos-05","kit-globos-futbol-verde-con-copa-dorada","Globos y Kits","Cumpleaños","Fútbol Verde con Copa Dorada"
"kit-globos-feliz-cumpleanos-06","kit-globos-futbol-verde-con-muneco","Globos y Kits","Cumpleaños","Fútbol Verde con Muñeco"
"kit-globos-feliz-cumpleanos-07","kit-globos-elegante-negro-y-dorado-con-mono","Globos y Kits","Cumpleaños","Elegante Negro y Dorado con Moño"
"kit-globos-feliz-cumpleanos-08","kit-globos-tematica-dulces-y-paletas","Globos y Kits","Cumpleaños","Temática Dulces y Paletas"
"kit-globos-feliz-cumpleanos-09","kit-globos-tematica-donas-y-helados","Globos y Kits","Cumpleaños","Temática Donas y Helados"
"kit-globos-feliz-cumpleanos-10","kit-globos-elegante-blanco-y-dorado","Globos y Kits","Cumpleaños","Elegante Blanco y Dorado"
"kit-globos-feliz-cumpleanos-11","kit-globos-tematica-safari-y-animal-print","Globos y Kits","Cumpleaños","Temática Safari y Animal Print"
"kit-globos-feliz-cumpleanos-12","kit-globos-elegante-plata-y-blanco-con-letrero-dorados","Globos y Kits","Cumpleaños","Elegante Plata y Blanco con Letrero Dorados"
"kit-globos-feliz-cumpleanos-13","kit-globos-verde-eucalipto-arena-y-cristal","Globos y Kits","Cumpleaños","Verde Eucalipto, Arena y Cristal"
"kit-globos-feliz-cumpleanos-14","kit-globos-tematica-mariposas-lavanda-y-oro","Globos y Kits","Cumpleaños","Temática Mariposas Lavanda y Oro"
"kit-globos-feliz-cumpleanos-15","kit-globos-tematica-monsters-inc","Globos y Kits","Cumpleaños","Temática Monsters Inc"
"kit-globos-feliz-cumpleanos-16","kit-globos-arcoiris-tonos-pastel","Globos y Kits","Cumpleaños","Arcoíris Tonos Pastel"
"kit-globos-feliz-cumpleanos-17","kit-globos-elegante-azul-marino-y-oro-cromado","Globos y Kits","Cumpleaños","Elegante Azul Marino y Oro Cromado"
"kit-globos-feliz-cumpleanos-18","kit-globos-tematica-espacio-y-astronauta","Globos y Kits","Cumpleaños","Temática Espacio y Astronauta"
"kit-globos-feliz-cumpleanos-19","kit-globos-tematica-minions-con-dorado","Globos y Kits","Cumpleaños","Temática Minions con Dorado"
"kit-globos-feliz-cumpleanos-20","kit-globos-tematica-buzz-lightyear","Globos y Kits","Cumpleaños","Temática Buzz Lightyear"
"kit-globos-feliz-cumpleanos-21","kit-globos-tematica-construccion-negro-amarillo-y-oro-cromado","Globos y Kits","Cumpleaños","Temática Construcción Negro, Amarillo y Oro Cromado"
"kit-globos-feliz-cumpleanos-22","kit-globos-corona-rey-azul-metalico-celeste-y-plata","Globos y Kits","Cumpleaños","Corona Rey Azul Metálico, Celeste y Plata"
"kit-globos-feliz-cumpleanos-23","corona-de-rey-azul","Globos y Kits","Cumpleaños","Corona de Rey Azul"
"kit-globos-feliz-cumpleanos-24","rosa-pastel-y-oro-rosa","Globos y Kits","Cumpleaños","Rosa Pastel y Oro Rosa"
"kit-globos-feliz-cumpleanos-25","sirena-y-conchas-marina","Globos y Kits","Cumpleaños","Sirena y Conchas Marina"
"kit-globos-feliz-cumpleanos-26","boho-eucalipto-y-arena","Globos y Kits","Cumpleaños","Boho Eucalipto y Arena"
"kit-globos-feliz-cumpleanos-27","rosa-metalico-y-corazones","Globos y Kits","Cumpleaños","Rosa Metálico y Corazones"
"kit-globos-feliz-cumpleanos-28","negro-y-rosa-fucsia","Globos y Kits","Cumpleaños","Negro y Rosa Fucsia"
"kit-globos-feliz-cumpleanos-29","margaritas-amarillo-y-celeste","Globos y Kits","Cumpleaños","Margaritas Amarillo y Celeste"
"kit-globos-feliz-cumpleanos-30","fiesta-selva-verde-y-dorado","Globos y Kits","Cumpleaños","Fiesta Selva Verde y Dorado"
"kit-globos-feliz-cumpleanos-31","elegante-azul-marino-y-celeste","Globos y Kits","Cumpleaños","Elegante Azul Marino y Celeste"
"kit-globos-feliz-cumpleanos-32","tonos-pastel-lila-y-coral","Globos y Kits","Cumpleaños","Tonos Pastel Lila y Coral"
"kit-globos-feliz-cumpleanos-33","elegante-arena-y-oro","Globos y Kits","Cumpleaños","Elegante Arena y Oro"
"kit-globos-feliz-cumpleanos-34","blanco-y-plata-cromado","Globos y Kits","Cumpleaños","Blanco y Plata Cromado"
"kit-globos-feliz-cumpleanos-35","safari-estampados-de-animales","Globos y Kits","Cumpleaños","Safari Estampados de Animales"
"kit-globos-feliz-cumpleanos-36","margaritas-tonos-pastel","Globos y Kits","Cumpleaños","Margaritas Tonos Pastel"
