Archivo,Categoria,Subcategoria,Nombre,Ref_Interna,Color,Precio,Contenido
vela-de-cera-rosa-gold,Velas,Tornillo,Rosa Gold Metálico,,,15,
vela-de-crea-oro-champagne,Velas,Tornillo,Oro Champagne Metálico,,,15,
vela-de-cera-tinto,Velas,Tornillo,Tinto Metálico,,,15,
vela-de-cera-azul,Velas,Tornillo,Azul Metálico,,,15,
vela-de-cera-plateada,Velas,Tornillo,Plateado Metálico,,,15,
vela-de-cera-colores-plus,Velas,Tornillo,Colores Plus Metálico,,,15,
vela-de-cera-colores,Velas,Tornillo,Colores Metálico,,,15,
vela-de-cera-de-numero-plateada,Velas,Número,Vela Cúbica de Número Plateada,,,12,
vela-de-cera-de-numero-dorada-corona,Velas,Número,Vela de Cera de Número Dorada Corona,,,10,
vela-de-cera-de-numero-plateada-corona,Velas,Número,Vela de Cera de Número Plateada Corona,,,10,
vela-de-cera-de-numero-dorada,Velas,Número,Vela Cúbica de Número Dorada,,,12,
vela-pirotecnia-rosa,Velas,Pirotécnica,Velas Pirotecnia Número 5 (Mini) Paquete,,,5,
velas-pirotecnia-colores,Velas,Pirotécnica,Velas Pirotecnia Número 10 Paquete,,,6,
velas-pirotecnia-paquete,Velas,Pirotécnica,Velas Pirotecnia Número 12 Paquete,,,7,
proximamente,Velas,Pirotécnica,Velas Pirotecnia Número 14 Paquete,,,8.5,
proximamente,Velas,Pirotécnica,Velas Pirotecnia Número 14 PLUS Paquete,,,10,
vela-espiral-rosa-gold,Velas,Torcida,Rosa Gold,,,15,
vela-espiral-fushia,Velas,Torcida,Fushia,,,15,
vela-espiral-morada,Velas,Torcida,Morada,,,15,
vela-espiral-negro,Velas,Torcida,Negro,,,15,
vela-espiral-plateado,Velas,Torcida,Plateado,,,15,
vela-espiral-cobre,Velas,Torcida,Cobre,,,15,
vela-espiral-colores-plus,Velas,Torcida,Colores Plus,,,15,
vela-espiral-dorado,Velas,Torcida,Dorado,,,15,
vela-de-rosas,Velas,Rosa,Vela de Rosas,,,35,
vela-de-rosa-azul,Velas,Rosa,Vela de Rosa Azul,,,35,
velas-de-cera-feliz-cumplanos-1,Velas,Feliz Cumpleaños,Rosa Metálico,,,15,
velas-de-cera-feliz-cumplanos-2,Velas,Feliz Cumpleaños,Rosa Gold Metálico,,,15,
velas-de-cera-feliz-cumplanos-3,Velas,Feliz Cumpleaños,Cobre Metálico,,,15,
velas-de-cera-feliz-cumplanos-4,Velas,Feliz Cumpleaños,Plateado Metálico,,,15,
velas-de-cera-feliz-cumplanos-5,Velas,Feliz Cumpleaños,Azul Metálico,,,15,
vela-happy-birthday-dorado,Velas,Happy Birthday,Dorado Metálico,,,19,
vela-happy-birthday-plateado,Velas,Happy Birthday,Plateado Metálico,,,19,
vela-happy-birthday-cobre,Velas,Happy Birthday,Cobre Metálico,,,19,
vela-happy-birthday-rosa,Velas,Happy Birthday,Rosa Metálico,,,19,
vela-happy-birthday-rosa-gold,Velas,Happy Birthday,Rosa Gold Metálico,,,19,
vela-happy-birthday-azul,Velas,Happy Birthday,Azul Metálico,,,19,
vela-happy-birthday-rojo,Velas,Happy Birthday,Rojo Metálico,,,19,
kit-globos-futbol-verde-y-tarro-de-cerveza,Kit de Escenario,Cumpleaños,Fútbol Verde y Cerveza,,,90,
kit-globos-futbol-negro-y-plata-con-playera,Kit de Escenario,Cumpleaños,Fútbol Negro y Plata con Playera,,,90,
kit-globos-futbol-rosa-con-letrero,Kit de Escenario,Cumpleaños,Fútbol Rosa con Letrero,,,90,
kit-globos-futbol-verde-con-letrero,Kit de Escenario,Cumpleaños,Fútbol Verde con Letrero,,,90,
kit-globos-futbol-verde-con-copa-dorada,Kit de Escenario,Cumpleaños,Fútbol Verde con Copa Dorada,,,90,
kit-globos-futbol-verde-con-muneco,Kit de Escenario,Cumpleaños,Fútbol Verde con Muñeco,,,90,
kit-globos-elegante-negro-y-dorado-con-mono,Kit de Escenario,Cumpleaños,Elegante Negro y Dorado con Moño,,,90,
kit-globos-tematica-dulces-y-paletas,Kit de Escenario,Cumpleaños,Temática Dulces y Paletas,,,90,
kit-globos-tematica-donas-y-helados,Kit de Escenario,Cumpleaños,Temática Donas y Helados,,,90,
kit-globos-elegante-blanco-y-dorado,Kit de Escenario,Cumpleaños,Elegante Blanco y Dorado,,,90,
kit-globos-tematica-safari-y-animal-print,Kit de Escenario,Cumpleaños,Temática Safari y Animal Print,,,90,
kit-globos-elegante-plata-y-blanco-con-letrero-dorados,Kit de Escenario,Cumpleaños,Elegante Plata y Blanco con Letrero Dorados,,,90,
kit-globos-verde-eucalipto-arena-y-cristal,Kit de Escenario,Cumpleaños,"Verde Eucalipto, Arena y Cristal",,,90,
kit-globos-tematica-mariposas-lavanda-y-oro,Kit de Escenario,Cumpleaños,Temática Mariposas Lavanda y Oro,,,90,
kit-globos-tematica-monsters-inc,Kit de Escenario,Cumpleaños,Temática Monsters Inc,,,90,
kit-globos-arcoiris-tonos-pastel,Kit de Escenario,Cumpleaños,Arcoíris Tonos Pastel,,,90,
kit-globos-elegante-azul-marino-y-oro-cromado,Kit de Escenario,Cumpleaños,Elegante Azul Marino y Oro Cromado,,,90,
kit-globos-tematica-espacio-y-astronauta,Kit de Escenario,Cumpleaños,Temática Espacio y Astronauta,,,90,
kit-globos-tematica-minions-con-dorado,Kit de Escenario,Cumpleaños,Temática Minions con Dorado,,,90,
kit-globos-tematica-buzz-lightyear,Kit de Escenario,Cumpleaños,Temática Buzz Lightyear,,,90,
kit-globos-tematica-construccion-negro-amarillo-y-oro-cromado,Kit de Escenario,Cumpleaños,"Temática Construcción Negro, Amarillo y Oro Cromado",,,90,
kit-globos-corona-rey-azul-metalico-celeste-y-plata,Kit de Escenario,Cumpleaños,"Corona Rey Azul Metálico, Celeste y Plata",,,90,
corona-de-rey-azul,Kit de Escenario,Cumpleaños,Corona de Rey Azul,,,90,
rosa-pastel-y-oro-rosa,Kit de Escenario,Cumpleaños,Rosa Pastel y Oro Rosa,,,90,
sirena-y-conchas-marina,Kit de Escenario,Cumpleaños,Sirena y Conchas Marina,,,90,
boho-eucalipto-y-arena,Kit de Escenario,Cumpleaños,Boho Eucalipto y Arena,,,90,
rosa-metalico-y-corazones,Kit de Escenario,Cumpleaños,Rosa Metálico y Corazones,,,90,
negro-y-rosa-fucsia,Kit de Escenario,Cumpleaños,Negro y Rosa Fucsia,,,90,
margaritas-amarillo-y-celeste,Kit de Escenario,Cumpleaños,Margaritas Amarillo y Celeste,,,90,
fiesta-selva-verde-y-dorado,Kit de Escenario,Cumpleaños,Fiesta Selva Verde y Dorado,,,90,
elegante-azul-marino-y-celeste,Kit de Escenario,Cumpleaños,Elegante Azul Marino y Celeste,,,90,
tonos-pastel-lila-y-coral,Kit de Escenario,Cumpleaños,Tonos Pastel Lila y Coral,,,90,
elegante-arena-y-oro,Kit de Escenario,Cumpleaños,Elegante Arena y Oro,,,90,
blanco-y-plata-cromado,Kit de Escenario,Cumpleaños,Blanco y Plata Cromado,,,90,
safari-estampados-de-animales,Kit de Escenario,Cumpleaños,Safari Estampados de Animales,,,90,
margaritas-tonos-pastel,Kit de Escenario,Cumpleaños,Margaritas Tonos Pastel,,,90,
princesita-sofia-morado,Kit de Escenario,Cumpleaños,Princesita Sofía Morado,,,90,
negro-y-plata-metalico,Kit de Escenario,Cumpleaños,Negro y Plata Metálico,,,90,
safari-elegante-negro-y-verde,Kit de Escenario,Cumpleaños,Safari Elegante Negro y Verde,,,90,
baby-shower-nino-azul-y-blanco,Kit de Escenario,Revelación,Niño Azul y Blanco,,,90,
revelacion-de-genero-con-cortinas,Kit de Escenario,Revelación,Girl o Boy,,,90,
elegante-menta-y-dorado-cromado,Kit de Escenario,Revelación,Menta y Dorado Cromado,,,90,
revelacion-azul-y-rosa-pastel,Kit de Escenario,Revelación,Azul y Rosa Pastel,,,90,
baby-shower-nina-rosa-y-blanco,Kit de Escenario,Revelación,Niña Rosa y Blanco,,,90,
baby-shower-azul,Kit de Escenario,Revelación,Baby Shower Azul,,,90,
kit-mario-bros,Globo,Personaje,Vaquero y Astronauta de Juguete,Toy Story,,28,
kit-bowser,Globo,Personaje,Astronauta Azul de Juguete,Toy Story (Buzz Lightyear),,28,
kit-yoshi,Globo,Personaje,Bautizo Angelical Azul,Bautizo Azul,,28,
kit-princesa-peach,Globo,Personaje,Princesita Rosa con Corazones,Niña Princesa Rosa,,28,
kit-luigi,Globo,Personaje,Pato Dorado Sonriente,Pato Dorado,,28,
kit-my-little-pony,Globo,Personaje,Princesa Árabe con Lámpara,Aladdín (Jasmín),,28,
kit-bella-y-bestia,Globo,Personaje,Capibara Marrón con Bellota,Capibara,,28,
kit-elsa-frozen,Globo,Personaje,Fantasma Gris de Fiesta,Fantasma de Halloween,,28,
kit-ana-frozen,Globo,Personaje,Balones de Fútbol Clásico,Fútbol (Balones),,28,
kit-olaf-frozen,Globo,Personaje,Corazones Rosas de Amor,Corazones de Amor,,28,
kit-sirenita-ariel,Globo,Personaje,Superhéroe Rojo Araña,Spiderman,,28,
kit-flounder,Globo,Personaje,Cono de Helado Sonriente,Cono de Helado,,28,
kit-cenicienta,Globo,Personaje,Bautizo Dorado de Niño,Bautizo Dorado,,28,
kit-blancanieves,Globo,Personaje,Superhéroe Araña en Acción,Spiderman,,28,
kit-moana,Globo,Personaje,Auto de Carreras Veloz,Auto de Carreras,,28,
kit-bella,Globo,Personaje,Ratoncita en Auto Rosa,Minnie Mouse,,28,
kit-aurora,Globo,Personaje,Corona Dorada de Cumpleaños,Corona de Cumpleaños,,28,
kit-rapunzel,Globo,Personaje,Dragón Negro de Ojos Verdes,Cómo Entrenar a tu Dragón (Toothless),,28,
kit-jasmine,Globo,Personaje,Hongo Sonriente con Gorra,Mario Bros (Toad),,28,
kit-tiana,Globo,Personaje,Panda Roja Gigante,Turning Red (Panda Roja),,28,
kit-kuromi,Globo,Personaje,Princesa Polinesia con Bebé,Moana,,28,
kit-hello-kitty,Globo,Personaje,Unicornio Arcoíris Mágico,Unicornio Arcoíris,,28,
kit-my-melody,Globo,Personaje,Osito Panda Blanco y Negro,Panda,,28,
kit-cinnamoroll,Globo,Personaje,Superhéroe Araña Volador,Spiderman,,28,
kit-badtz-maru,Globo,Personaje,Ratón Clásico en Auto Rojo,Mickey Mouse,,28,
kit-keroppi,Globo,Personaje,Gatita Blanca de Moño,Hello Kitty,,28,
kit-pompompurin,Globo,Personaje,Tortuga Azul de Agua,Pokémon (Squirtle),,28,
kit-pochacco,Globo,Personaje,Perrita Azul Juguetona,Bluey,,28,
kit-chococat,Globo,Personaje,Estrella de Mar Rosada,Bob Esponja (Patricio),,28,
kit-little-twin-stars,Globo,Personaje,Cerdita Rosa Sonriente,Peppa Pig,,28,
kit-spiderman,Globo,Personaje,Cerdita Rosa Bailando,Peppa Pig,,28,
kit-batman,Globo,Personaje,Ratón Aventurero Azul,Bely y Beto,,28,
kit-superman,Globo,Personaje,Pato Marinero de Invierno,Pato Donald,,28,
kit-iron-man,Globo,Personaje,Princesa Polinesia de las Olas,Moana,,28,
kit-capitan-america,Globo,Personaje,Niña con Gatitos Mágicos,Gabby's Dollhouse,,28,
kit-hulk,Globo,Personaje,Perrito Rescatista en Montaña,Paw Patrol (Chase),,28,
kit-thor,Globo,Personaje,Guerrero de Cabello Dorado,Dragon Ball (Goku),,28,
kit-chase-paw-patrol,Globo,Personaje,Perrito Rescatista Color Café,Paw Patrol (Skye),,28,
kit-marshall-paw-patrol,Globo,Personaje,Trofeo Dorado de Fútbol,Fútbol (Barcelona),,28,
kit-skye-paw-patrol-01,Globo,Personaje,Niña de Cumpleaños Morado,Niña de Cumpleaños,,28,
kit-rubble-paw-patrol,Globo,Personaje,Perrito Rescatista con Arcoíris,Paw Patrol (Rubble),,28,
kit-futbol,Globo,Personaje,Balones de Fútbol Rosa,Fútbol (Balones),,28,
kit-bob-esponja,Globo,Personaje,Esponja Amarilla Sonriente,Bob Esponja,,28,
kit-rapunzel-princesas,Globo,Personaje,Dos Princesas de Cuento,Disney Princesas (Rapunzel),,28,
kit-angel-y-stitch,Globo,Personaje,Koala Azul Espacial de Fiesta,Stitch (Lilo y Stitch),,28,
kit-virgen-de-guadalupe,Globo,Personaje,Virgen de Guadalupe,Virgen de Guadalupe,,28,
kit-minnie-mouse,Globo,Personaje,Ratoncita de Moño Rojo,Minnie Mouse,,28,
kit-tiburon-gym,Globo,Personaje,Tiburón Musculoso de Gimnasio,Tiburón Gym,,28,
kit-sonic,Globo,Personaje,Erizo Azul Corriendo,Sonic,,28,
kit-vaca-animada,Globo,Personaje,Vaca Sonriente de Granja,Vaca (Granja),,28,
kit-cebra-animada,Globo,Personaje,Cebra Sonriente a Rayas,Cebra,,28,
kit-mono-animado,Globo,Personaje,Mono Sonriente Juguetón,Mono,,28,
kit-skye-paw-patrol-02,Globo,Personaje,Perrito Rescatista Alegre,Paw Patrol (Skye),,28,
kit-dinosaurio-t-rex-naranja,Globo,Personaje,Dinosaurio Naranja Feroz,Dinosaurio T-Rex,,28,
kit-dinosaurio-t-rex-rojo,Globo,Personaje,Dinosaurio Rojo Rugiente,Dinosaurio T-Rex,,28,
kit-dinosaurio-triceratops,Globo,Personaje,Dinosaurio de Tres Cuernos,Dinosaurio Triceratops,,28,
kit-winnie-pooh,Globo,Personaje,Osito Amarillo Amigable,Winnie Pooh,,28,
kit-rayo-mcqueen,Globo,Personaje,Auto de Carreras Rojo,Cars (Rayo McQueen),,28,
kit-futbol-americano,Globo,Personaje,Balón de Fútbol Americano,Fútbol Americano,,28,
kit-baloncesto,Globo,Personaje,Balones Anaranjados de Baloncesto,Baloncesto,,28,
plim-plim,Globo,Personaje,Conejita Gótica de Cabello Azul,Kuromi,,28,
malefica,Globo,Personaje,Conejita Gótica Blanca,Kuromi,,28,
los-increibles,Globo,Personaje,Familia de Vacas Sonrientes,Vaca (Granja),,28,
cruella-de-vil,Globo,Personaje,Erizo y Zorro Veloces,Sonic (con Tails),,28,
aladdin-jasmin,Globo,Personaje,Gatita Blanca de Moño Rosa,Hello Kitty,,28,
pocahontas,Globo,Personaje,Koala Azul Espacial Estelar,Stitch (Lilo y Stitch),,28,
mulan,Globo,Personaje,Perrito Bombero Rojo,Paw Patrol (Marshall),,28,
tiana-la-princesa-y-el-sapo,Globo,Personaje,Robot Transformable Amarillo,Transformers (Bumblebee),,28,
merida-valiente,Globo,Personaje,Arcoíris Feliz con Nubes,Arcoíris,,28,
moana,Globo,Personaje,Princesa Amarilla de Cuento,Disney Princesas (Bella),,28,
raya-el-ultimo-dragon,Globo,Personaje,Llantas de Carreras Veloces,Llantas de Carreras,,28,
mirabel-encanto,Globo,Personaje,Despedida de Soltera Morada,Despedida de Soltera,,28,
asha-wish-el-poder-de-los-deseos,Globo,Personaje,Radio de Fiesta Colorida,Radio de Fiesta,,28,
intensamente-ansiedad,Globo,Personaje,Piña Tropical de Verano,Piña Tropical,,28,
naruto-diseno-clasico-shippuden,Globo,Personaje,Corona Dorada Real,Corona de Cumpleaños,,28,
one-piece-luffy,Globo,Personaje,Conejita Gótica Rosa,Kuromi,,28,
dragon-ball-goku,Globo,Personaje,Sirena de Cola Verde,La Sirenita (Ariel),,28,
demon-slayer-tanjiro,Globo,Personaje,Osito Amigable con Miel,Winnie Pooh,,28,
my-hero-academia-deku,Globo,Personaje,Fontanero Verde con Gorra,Mario Bros (Luigi),,28,
jujutsu-kaisen-gojo,Globo,Personaje,Niña con Oso de Peluche,Masha y el Oso,,28,
minecraft,Globo,Personaje,Fontanero Rojo con Gorra,Mario Bros,,28,
fortnite,Globo,Personaje,Payasito Rosa de Circo,Plim Plim,,28,
pokemon-pikachu,Globo,Personaje,Koala Azul Espacial Curioso,Stitch (Lilo y Stitch),,28,
super-mario-bros-luigi,Globo,Personaje,Bebé Rosa Consentida,Bebé (Niña),,28,
bowser-super-mario-bros,Globo,Personaje,Bebé Azul Dormilón,Bebé (Niño),,28,
yoshi-super-mario-bros,Globo,Personaje,Ratoncita de Lunares Rosa,Minnie Mouse,,28,
toad-honguito-super-mario-bros,Globo,Personaje,Perrita Azul de Caricatura,Bluey,,28,
princesa-peach-super-mario-bros,Globo,Personaje,Fútbol Campeón de Cumpleaños,Fútbol (Barcelona),,28,
rosita-fresita,Globo,Personaje,Ratón Clásico con Guante Blanco,Mickey Mouse,,28,
monster-high,Globo,Personaje,Bebé Risueño de Mejillas Rojas,Plim Plim,,28,
princesita-sofia,Globo,Personaje,Princesita Morada con Castillo,Sofía la Princesa,,28,
sonic,Globo,Personaje,Erizo Azul con Amigo Pato,Sonic,,28,
motociclista-de-carreras-moto-azul,Globo,Personaje,Motociclista de Carreras Veloz,Motociclista de Carreras,,28,
spider-man,Globo,Personaje,Superhéroe Araña de Cerca,Spiderman,,28,
granja-gallo,Globo,Personaje,Gallo de Granja Cantor,Gallo (Granja),,28,
princesa-aurora-la-bella-durmiente,Globo,Personaje,Princesa Rosa con Corona,Aurora (La Bella Durmiente),,28,
capibara,Globo,Personaje,Capibara con Sombrero de Fiesta,Capibara,,28,
cenicienta,Globo,Personaje,Princesa Azul de Cristal,Cenicienta,,28,
blancanieves,Globo,Personaje,Princesa del Bosque Amarilla,Blancanieves,,28,
bandera-de-mexico,Globo,Personaje,Bandera de México Tricolor,Bandera de México,,28,
naruto-estilo-chibi,Globo,Personaje,Ninja Anaranjado Saltando,Naruto,,28,
changuito-mono-de-cumpleanos,Globo,Personaje,Changuito Feliz de Cumpleaños,Changuito (Mono),,28,
iron-man,Globo,Personaje,Héroe de Armadura Dorada,Iron Man,,28,
cono-de-helado-happy-birthday,Globo,Personaje,Cono de Helado de Cumpleaños,Cono de Helado,,28,
malteada-frappe,Globo,Personaje,Malteada Dorada Espumosa,Malteada,,28,
mariposa,Globo,Personaje,Mariposa Colorida Volando,Mariposa,,28,
barbie-letrero-logo,Globo,Personaje,Muñeca de Moda Rosa,Barbie,,28,
barbie-en-carro-rosa,Globo,Personaje,Muñeca en Auto Deportivo Rosa,Barbie,,28,
primera-comunion-azul-on-your-communion,Globo,Personaje,Primera Comunión Azul con Cruz,Primera Comunión Azul,,28,
pato-donald,Globo,Personaje,Pato Marinero Clásico,Pato Donald,,28,
primera-comunion-rosa-on-your-communion,Globo,Personaje,Primera Comunión Rosa con Cruz,Primera Comunión Rosa,,28,
roblox,Globo,Personaje,Personajes de Bloques Aventureros,Roblox,,28,
toy-story-woody,Globo,Personaje,Vaquero de Juguete Sonriente,Toy Story (Woody),,28,
caballos-rosa-y-negro,Globo,Personaje,Caballitos Rosa y Negro,Caballos,,28,
kuromi,Globo,Personaje,Conejita Gótica Nocturna,Kuromi,,28,
nuestra-boda-blanco-y-oro,Kit de Escenario,Boda,Blanco y Oro,,,90,
te-amo-tono-rosa-y-cafe,Kit de Escenario,Te Amo,Tono Rosa y Café,,,90,
te-amo-fucsia-y-negro,Kit de Escenario,Te Amo,Fucsia y Negro,,,90,
feliz-graduacion-azul-marino-y-oro,Kit de Escenario,Graduación,Azul Marino y Oro,,,90,
feliz-cumpleanos-oro,Globo,Letra,Feliz Cumpleaños Oro,,,28,
feliz-cumpleanos-plata-02,Globo,Letra,Feliz Cumpleaños Plata,,,28,
feliz-cumpleanos-negro,Globo,Letra,Feliz Cumpleaños Negro,,,28,
feliz-cumpleanos-tono-pastel,Globo,Letra,Feliz Cumpleaños Tono Pastel,,,28,
feliz-cumpleanos-rosa,Globo,Letra,Feliz Cumpleaños Rosa Cursiva,,,20,
feliz-cumpleanos-rojo,Globo,Letra,Feliz Cumpleaños Rojo Cursiva,,,20,
feliz-cumpleanos-morado,Globo,Letra,Feliz Cumpleaños Morado Cursiva,,,20,
feliz-cumpleanos-plata-01,Globo,Letra,Feliz Cumpleaños Plata Cursiva,,,20,
feliz-cumpleanos-multicolor,Globo,Letra,Feliz Cumpleaños Multicolor Cursiva,,,20,
feliz-cumpleanos-dorado-cursiva,Globo,Letra,Feliz Cumpleaños Dorado Cursiva,,,20,
feliz-cumpleanos-negro-cursiva,Globo,Letra,Feliz Cumpleaños Negro Cursiva,,,20,
feliz-cumpleanos-habile-oro,Globo,Letra,Feliz Cumpleaños Oro/Plata Brillante,,,28,
happy-birthday-plata-cursiva,Globo,Letra,Happy Birthday Plata Cursiva,,,20,
mis-15-anos-oro,Globo,Letra,Mis 15 Años Oro Cursiva,,,20,
mi-bautizo-oro,Globo,Letra,Bautizo Oro,,,28,
mi-bautizo-plata,Globo,Letra,Bautizo Plata,,,28,
primera-comunion-oro,Globo,Letra,Primera Comunión Oro,,,28,
primera-comunion-plata,Globo,Letra,Primera Comunión Plata,,,28,
bienvenido-oro-01,Globo,Letra,Bienvenido Oro,,,28,
bienvenido-plata,Globo,Letra,Bienvenido Plata,,,28,
paquete-globos-de-latex-colores-surtidos-1,Globo,Látex,Látex Surtidos 1,,,,
kit-de-arco-de-globos-happy-anniversary-negro-con-oro,Kit de Escenario,Aniversario,Negro con Oro,,,90,
kit-de-arco-de-globos-happy-anniversary-plata-con-blanco,Kit de Escenario,Aniversario,Plata con Blanco,,,90,
banderin-dorado-adiamantado-letras-plata,Banderines,Diamantado,Dorado,,,13,
banderin-plateado-adiamantado-letras-oro,Banderines,Diamantado,Plateado,,,13,
banderin-negro-adiamantado-letras-oro,Banderines,Diamantado,Negro,,,13,
banderin-rosa-adiamantado-letras-oro,Banderines,Diamantado,Rosa,,,13,
banderin-fucsia-adiamantado-letras-oro,Banderines,Diamantado,Fucsia,,,13,
banderin-rojo-adiamantado-letras-oro,Banderines,Diamantado,Rojo,,,13,
banderin-azul-adiamantado-letras-oro,Banderines,Diamantado,Azul,,,13,
banderin-morado-adiamantado-letras-oro,Banderines,Diamantado,Morado,,,13,
banderin-verde-adiamantado-letras-oro,Banderines,Diamantado,Verde,,,13,
banderin-rosa-holografico-letras-oro,Banderines,Holográfico,Rosa,,,13,
banderin-rojo-holografico-letras-oro,Banderines,Holográfico,Rojo,,,13,
banderin-azul-holografico-letras-oro,Banderines,Holográfico,Azul,,,13,
banderin-morado-holografico-letras-oro,Banderines,Holográfico,Morado,,,13,
banderin-liso-blanco,Banderines,Liso,Blanco,,,13,
banderin-liso-negro,Banderines,Liso,Negro,,,13,
banderin-liso-rosa,Banderines,Liso,Rosa,,,13,
